AirlineKey;AirlineId;Code;Description
1391;1391;VA;Virgin Blue International Airlines t/a V Australia
1392;1392;VA (1);Venezuelan International Airways
1393;1393;VAG;Vagabond Aviation Inc.
1394;1394;VAQ;Vacationair
1395;1395;VAS;Valley Air Services
1396;1396;VB;Aeroenlaces Nacionales
1397;1397;VB (1);Pacific Express
1398;1398;VC;Servicios Avensa
1399;1399;VCQ;Victory Air Transport Inc.
1400;1400;VE;Aerovias Venezolanas-Avensa
1401;1401;VER;Britt Airlines Inc.
1402;1402;VEZ;Valdez Airlines
1403;1403;VH;Aeropostal Alas De Venezuel
1404;1404;VI;Vieques Air Link Inc.
1405;1405;VIG;Viking Express
1406;1406;VIN;Vale International Airlines
1407;1407;VIQ;Volga-Dnepr Airlines
1408;1408;VIQ (1);Viscount Air Service Inc.
1409;1409;VIS;Virgin Islands Seaplane
1410;1410;VJT;VistaJet Limited
1411;1411;VK;Air Tungaru Corporation
1412;1412;VL;Mid-South Aviation Inc.
1413;1413;VLA;Village Aviation
1414;1414;VLY;Valley Airlines
1415;1415;VOQ;Avalon Aviation Ltd.
1416;1416;VP;Viacao Aerea Sao Paulo
1417;1417;VQ;Vintage Props & Jets Inc.
1418;1418;VR;Transportes Aereos De Cabo
1419;1419;VS;Virgin Atlantic Airways
1420;1420;VSA;VistaJet Luftfahrtunternehmen GmbH
1421;1421;VV;Aerosvit Ukranian Airlines
1422;1422;VV (1);Challenge Air Transport Inc.
1423;1423;VV (2);Challenge Air International Inc.
1424;1424;VW;Transportes Aeromar S.A de C.V
1425;1425;VX;Virgin America
1426;1426;VX (1);Aces Airlines
1427;1427;VY;Highland Express Airways
1428;1428;W3;Arik Air International
1429;1429;W4;Mn Aviation
1430;1430;W7;Western Pacific Airlines
1431;1431;W8;Cargojet Airways Ltd.
1432;1432;W9;Eastwind Airlines Inc.
1433;1433;WA;Worldwide Airlines Services
1434;1434;WA (1);Western Air Lines Inc.
1435;1435;WAC;Air East Airlines
1436;1436;WAI;Wise Airlines Inc.
1437;1437;WAP;Arrow Panama
1438;1438;WAQ;Air Charter Systems (Acs)
1439;1439;WAR;Waring Air
1440;1440;WAW;Westward Airways Inc.
1441;1441;WC;Wien Air Alaska Inc.
1442;1442;WCA;Walker's International
1443;1443;WCI;Mountainwest Airlines
1444;1444;WD;Halisa Air
1445;1445;WDQ;Wardair Canada Inc.
1446;1446;WE;Centurion Cargo Inc.
1447;1447;WEB;Southeast Alaska Airlines
1448;1448;WEQ;Aero-Services-Corporate
1449;1449;WES;Western Star Airlines Inc.
1450;1450;WET;Western Charter Inc.
1451;1451;WFS;Wheeler Airlines
1452;1452;WFT;Westflight Aviation
1453;1453;WG;Sunwing Airlines Inc.
1454;1454;WGL;Wrangell Air Service
1455;1455;WGQ;Gateway Aviation Limited
1456;1456;WI;Tradewinds Airlines
1457;1457;WIA;Wisc Air
1458;1458;WIL;Will's Air
1459;1459;WIR;Williams Air Inc.
1460;1460;WL;World Air Network
1461;1461;WLH;Welch Aviation
1462;1462;WLQ;Worldwide Airlines Inc.
1463;1463;WM;Windward Islands Airways
1464;1464;WN;Southwest Airlines Co.
1465;1465;WNG;Wings Airways
1466;1466;WNQ;Winair Inc.
1467;1467;WO;World Airways Inc.
1468;1468;WP;Island Air Hawaii
1469;1469;WRA;Wra Inc.
1470;1470;WRD;Ward Air
1471;1471;WRT;Wright Airlines Inc.
1472;1472;WS;Westjet
1473;1473;WS (1);Suncoast Airlines Inc.
1474;1474;WSK;AAR Western Skyways
1475;1475;WST;West Isle Air
1476;1476;WSU;Mission Air
1477;1477;WT;Nigeria Airways Ltd.
1478;1478;WTA;Westates Airlines
1479;1479;WV;Air Greco
1480;1480;WV (1);Air South Inc. (1)
1481;1481;WW;WOW Air ehf
1482;1482;WWI;Wings West Airlines
1483;1483;WWQ;Worldways Canada Ltd.
